experiment,seed,n_samples,graph_type,ml_method,treatment_idx,outcome_idx,n_confounders,n_adjustment,ate_true,ate_source,theta_hat,se,ci_lower,ci_upper,bias,covers_true
184,3392,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.080075,0.02205,-0.123292,-0.036857,-0.009807,True
185,3405,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.014637,0.021148,-0.056087,0.026813,0.055631,False
186,3418,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.040847,0.020358,-0.080748,-0.000945,0.029421,True
187,3431,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.0105,0.022242,-0.054095,0.033095,0.059768,False
188,3444,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.077003,0.022299,-0.12071,-0.033297,-0.006736,True
189,3457,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.043263,0.022042,-0.086465,-6e-05,0.027005,True
190,3470,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.05425,0.021063,-0.095534,-0.012967,0.016017,True
191,3483,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.02647,0.022035,-0.069658,0.016718,0.043798,False
192,3496,2000,layered,forest,15,17,1,1,-0.070268,simulation,0.027078,0.022327,-0.016682,0.070838,0.097346,False
193,3509,2000,layered,forest,15,17,1,1,-0.070268,simulation,0.006756,0.02104,-0.034482,0.047994,0.077024,False
194,3522,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.024421,0.020997,-0.065576,0.016734,0.045847,False
195,3535,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.048952,0.021342,-0.090783,-0.007121,0.021316,True
196,3548,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.027064,0.021293,-0.068799,0.014671,0.043204,False
197,3561,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.041483,0.021511,-0.083645,0.000679,0.028785,True
198,3574,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.041619,0.020208,-0.081228,-0.002011,0.028648,True
199,3587,2000,layered,forest,15,17,1,1,-0.070268,simulation,-0.050593,0.020556,-0.090882,-0.010303,0.019675,True
